'Fecha', 'Hora', 'Segundos', 'Latencia (ms)', 'Download (Mbit/s)', 'Upload (Mbit/s)'
'25/06/2014 20:25:21', '1403745921', '18,756', '9,47', '1,95'
'25/06/2014 20:29:24', '1403746164', '16,928', '9,06', '2,02'
'25/06/2014 20:30:22', '1403746222', '15,259', '9,45', '1,91'
'25/06/2014 20:31:30', '1403746290', '14,702', '10,02', '2,02'
'25/06/2014 20:35:27', '1403746527', '20,425', '9,58', '1,96'
'25/06/2014 21:00:05', '1403748005', '17,881', '10,23', '2,02'
'25/06/2014 21:05:04', '1403748304', '19,312', '9,60', '1,84'
'25/06/2014 21:10:28', '1403748628', '23,365', '9,02', '1,98'
'25/06/2014 21:15:23', '1403748923', '22,729', '9,59', '2,03'
'25/06/2014 21:20:16', '1403749216', '24,001', '9,98', '2,04'
'25/06/2014 21:25:19', '1403749519', '17,802', '7,74', '1,96'
'25/06/2014 21:30:11', '1403749811', '19,868', '10,24', '2,01'
'25/06/2014 21:35:14', '1403750114', '21,06', '10,07', '1,64'
'25/06/2014 21:40:22', '1403750422', '32,028', '9,12', '2,03'
'25/06/2014 21:45:21', '1403750721', '18,358', '9,69', '2,03'
'25/06/2014 21:50:16', '1403751016', '17,961', '9,77', '2,02'
'25/06/2014 21:55:24', '1403751324', '19,63', '7,18', '1,94'
'25/06/2014 22:00:20', '1403751620', '23,683', '8,46', '2,00'
'25/06/2014 22:05:15', '1403751915', '23,286', '6,79', '2,01'
'25/06/2014 22:10:07', '1403752207', '18,358', '8,70', '1,95'
'25/06/2014 22:15:11', '1403752511', '18,04', '7,32', '2,04'
'25/06/2014 22:20:06', '1403752806', '20,345', '7,46', '1,93'
'25/06/2014 22:25:09', '1403753109', '18,438', '9,60', '1,99'
'25/06/2014 22:30:02', '1403753402', '15,418', '7,11', '1,92'
'25/06/2014 22:35:24', '1403753724', '18,358', '8,53', '1,99'
'26/06/2014 08:04:10', '1403787850', '0,1', '0,1', '0,1'
'26/06/2014 08:05:02', '1403787902', '0,1', '0,1', '0,1'
'26/06/2014 08:06:12', '1403787972', '20,981', '10,34', '2,07'
'26/06/2014 08:07:24', '1403788044', '19,55', '10,33', '2,07'
'26/06/2014 08:08:15', '1403788095', '22,65', '10,05', '1,99'
'26/06/2014 08:09:08', '1403788148', '14,305', '9,87', '2,00'
'26/06/2014 08:10:01', '1403788201', '19,232', '9,71', '1,75'
'26/06/2014 08:11:00', '1403788260', '22,252', '9,64', '1,93'
